company,location,country,industry,date,year,month,total_laid_off,percentage_laid_off,has_count,city,is_estimated
Acko,Mumbai,India,Finance,2026-04-20,2026.0,2026-04,60.0,0.05,True,Mumbai,False
NeuroPixel.AI,Bengaluru,India,Retail,2026-04-03,2026.0,2026-04,675.0,1.0,False,Bengaluru,True
Covrzy,Bengaluru,India,Finance,2026-03-01,2026.0,2026-03,3.0,1.0,True,Bengaluru,False
Flipkart,Bengaluru,India,Retail,2026-03-06,2026.0,2026-03,500.0,,True,Bengaluru,False
Livspace,Bengaluru,India,Consumer,2026-02-20,2026.0,2026-02,1000.0,0.12,True,Bengaluru,False
Fi.Money,Bengaluru,India,Finance,,,,183.0,0.4,False,Bengaluru,True
Zupee,New Delhi,India,Consumer,2026-01-30,2026.0,2026-01,200.0,,True,New Delhi,False
Whatfix,Bengaluru,India,AI,2025-12-09,2025.0,2025-12,60.0,0.06,True,Bengaluru,False
GenWise,New Delhi,India,Other,2025-12-09,2025.0,2025-12,242.0,1.0,False,New Delhi,True
Junglee Games,New Delhi,India,Consumer,2025-11-26,2025.0,2025-11,350.0,,True,New Delhi,False
Flipkart,Bengaluru,India,Retail,2025-11-16,2025.0,2025-11,40.0,,True,Bengaluru,False
BharatAgri,Mumbai,India,Food,2025-11-13,2025.0,2025-11,37.0,1.0,True,Mumbai,False
GamesKraft,Bengaluru,India,Consumer,2025-11-10,2025.0,2025-11,280.0,,True,Bengaluru,False
Porter,Bengaluru,India,Logistics,2025-11-04,2025.0,2025-11,350.0,0.18,True,Bengaluru,False
Zepto,Mumbai,India,Retail,2025-10-18,2025.0,2025-10,300.0,0.05,True,Mumbai,False
Simpl,Bengaluru,India,Finance,2025-10-01,2025.0,2025-10,80.0,,True,Bengaluru,False
GamesKraft,Bengaluru,India,Consumer,2025-09-18,2025.0,2025-09,120.0,,True,Bengaluru,False
Hike,New Delhi,India,Consumer,2025-09-03,2025.0,2025-09,783.0,1.0,False,New Delhi,True
Zupee,New Delhi,India,Consumer,2025-09-11,2025.0,2025-09,170.0,0.3,True,New Delhi,False
Head Digital Works,Hyderabad,India,Consumer,2025-09-04,2025.0,2025-09,500.0,,True,Hyderabad,False
Bobble AI,New Delhi,India,Consumer,2025-09-04,2025.0,2025-09,50.0,,True,New Delhi,False
Games 24x7,Mumbai,India,Consumer,2025-09-01,2025.0,2025-09,400.0,,True,Mumbai,False
Mobile Premier,Bengaluru,India,Consumer,2025-09-01,2025.0,2025-09,300.0,,True,Bengaluru,False
Krutrim,Bengaluru,India,AI,2025-09-01,2025.0,2025-09,50.0,,True,Bengaluru,False
BeepKart,Bengaluru,India,Retail,2025-08-23,2025.0,2025-08,150.0,1.0,True,Bengaluru,False
Clear,Bengaluru,India,Finance,2025-08-01,2025.0,2025-08,145.0,0.16,True,Bengaluru,False
Astra,Bengaluru,India,Sales,2025-07-28,2025.0,2025-07,106.0,1.0,True,Bengaluru,False
Krutrim,Bengaluru,India,AI,2025-07-28,2025.0,2025-07,100.0,,True,Bengaluru,False
Ohm Mobility,Bengaluru,India,Transportation,2025-07-04,2025.0,2025-07,2.0,1.0,True,Bengaluru,False
